Team Name,Team Name,TeamYear,Roster,25-Man Payroll,IR,Retained,Buried,Suspended,Total Payroll,RelPayPerYear,Year
Colorado Rockies,Rockies,Rockies2017,35,105029084,-,33618391,2152000,-,139324341,98.69578251,2017
Houston Astros,Astros,Astros2017,40,132536382,835843,3284838,2535000,-,138709677,98.2603615,2017
Cleveland Indians,Indians,Indians2017,39,115772319,6129713,10007205,1070000,-,131958928,93.4782075,2017
Minnesota Twins,Twins,Twins2017,34,75616449,22830000,19497309,5690000,-,121048871,85.7496469,2017
Miami Marlins,Marlins,Marlins2017,31,72360311,21441206,13782819,5169000,-,110765599,78.46509368,2017
Atlanta Braves,Braves,Braves2017,35,80713434,1997766,21037983,3342500,-,105218575,74.53564481,2017
Philadelphia Phillies,Phillies,Phillies2017,32,23135934,16578578,64189622,1605000,-,104020808,73.68716025,2017
Arizona Diamondbacks,Diamondbacks,Diamondbacks2017,36,81644775,19379200,1572116,1070000,-,102619475,72.69447186,2017
Pittsburgh Pirates,Pirates,Pirates2017,35,64196313,16750000,14381028,1605000,-,98203030,69.56591232,2017
Cincinnati Reds,Reds,Reds2017,35,64567947,16021450,15403006,1073000,-,96436003,68.31417044,2017
Chicago White Sox,White Sox,White Sox2017,30,32540383,7571000,45746296,2680000,-,86382688,61.19251615,2017
San Diego Padres,Padres,Padres2017,32,24930424,5182750,42793983,9969600,-,77921678,55.19883266,2017
Tampa Bay Rays,Rays,Rays2017,36,63018694,6867218,7998455,2675600,-,77811205,55.12057484,2017
Oakland Athletics,Athletics,Athletics2017,33,31723817,1437784,39189018,3747500,-,73477080,52.05032986,2017
Milwaukee Brewers,Brewers,Brewers2017,34,57578930,547000,6033614,9463200,-,68945179,48.83998261,2017
Los Angeles Dodgers,Dodgers,Dodgers2016,40,193881011,13288890,54652847,9090000,-,268745494,200.3065025,2016
New York Yankees,Yankees,Yankees2016,36,159213515,10509409,50238466,1522500,-,220743376,164.5286511,2016
Boston Red Sox,Red Sox,Red Sox2016,35,165121274,19567513,2194948,23874428,-,207758836,154.8507668,2016
